a,a,Used to refer to one person or thing.,ए,एक व्यक्ति या चीज को संदर्भित करने के लिए उपयोग किया जाता है।,अ,एका व्यक्तीचा किंवा वस्तूचा संदर्भ घेण्यासाठी वापरला जातो.,,,,,,,,,,,,,Same
an,an,Used before a word that starts with a vowel sound.,एक,एक शब्द से पहले उपयोग किया जाता है जो एक स्वर ध्वनि के साथ शुरू होता है।,एक,स्वराच्या आवाजाने सुरू होणार्‍या शब्दाच्या आधी वापरला जातो.,,,,,,,,,,,,,Same
abandon,abandon,To leave or give up completely.,छोड़ देना,पूरी तरह से छोड़ने या छोड़ने के लिए।,सोडून द्या,सोडणे किंवा पूर्णपणे सोडून देणे.,,,,,,,,,,,,,Same
ability,ability,The power or skill to do something.,क्षमता,कुछ करने के लिए शक्ति या कौशल।,क्षमता,काहीतरी करण्याची शक्ती किंवा कौशल्य.,,,,,,,,,,,,,Same
able,able,Having the skill or power to do something.,योग्य,कुछ करने के लिए कौशल या शक्ति होना।,सक्षम,काहीतरी करण्याची कौशल्य किंवा सामर्थ्य आहे.,,,,,,,,,,,,,Same
about,about,On the subject of; concerning.,के बारे में,विषय के सन्दर्भ में; के विषय में।,बद्दल,च्या विषयावर; संबंधित.,,,,,,,,,,,,,Same
above,above,Higher in position or place.,ऊपर,स्थिति या स्थान में उच्च।,वरील,स्थितीत किंवा ठिकाणी जास्त.,,,,,,,,,,,,,Same
abroad,abroad,In or to a foreign country or countries.,विदेश,या किसी विदेशी देश या देशों में।,परदेशात,परदेशात किंवा देशांमध्ये किंवा देशांमध्ये.,,,,,,,,,,,,,Same
absolute,absolute,Not limited in any way; complete.,शुद्ध,किसी भी तरह से सीमित नहीं; पूरा।,परिपूर्ण,कोणत्याही प्रकारे मर्यादित नाही; पूर्ण.,,,,,,,,,,,,,Same
absolutely,absolutely,Without question; definitely.,बिल्कुल,बिना सवाल के; निश्चित रूप से।,पूर्णपणे,प्रश्न न करता; नक्कीच.,,,,,,,,,,,,,Same
academic,academic,Relating to education and scholarship.,अकादमिक,शिक्षा और छात्रवृत्ति से संबंधित।,शैक्षणिक,शिक्षण आणि शिष्यवृत्तीशी संबंधित.,,,,,,,,,,,,,Same
accept,accept,To agree to take something offered.,स्वीकार करना,कुछ पेशकश करने के लिए सहमत होने के लिए।,स्वीकारा,ऑफर केलेले काहीतरी घेण्यास सहमती देणे.,,,,,,,,,,,,,Same
acceptable,acceptable,Adequate or satisfactory.,स्वीकार्य,पर्याप्त या संतोषजनक।,स्वीकार्य,पुरेसे किंवा समाधानकारक,,,,,,,,,,,,,Same
access,access,The right or opportunity to use or approach something.,पहुँच,किसी चीज़ का उपयोग करने या दृष्टिकोण करने का अधिकार या अवसर।,प्रवेश,काहीतरी वापरण्याची किंवा एखाद्या गोष्टीकडे जाण्याची योग्य किंवा संधी.,,,,,,,,,,,,,Same
accident,accident,An unexpected event that happens by chance or mistake.,दुर्घटना,एक अप्रत्याशित घटना जो संयोग या गलती से होती है।,अपघात,एक अनपेक्षित घटना जो योगायोगाने किंवा चुकून होतो.,,,,,,,,,,,,,Same
accommodation,accommodation,A place to live or stay in.,आवास,रहने या रहने के लिए एक जगह।,निवास,राहण्याची किंवा राहण्याची जागा.,,,,,,,,,,,,,Same
accompany,accompany,To go with someone or something.,साथ,किसी के साथ या किसी चीज के साथ जाना।,सोबत,कोणाबरोबर किंवा कशास तरी जाणे.,,,,,,,,,,,,,Same
according to,according to,As stated or reported by.,के अनुसार,जैसा कि कहा गया है या द्वारा रिपोर्ट किया गया है।,त्यानुसार,सांगितल्याप्रमाणे किंवा नोंदविल्याप्रमाणे.,,,,,,,,,,,,,Same
account,account,A record of financial transactions.,खाता,वित्तीय लेनदेन का रिकॉर्ड।,खाते,आर्थिक व्यवहाराची नोंद.,,,,,,,,,,,,,Same
accurate,accurate,Correct or precise.,शुद्ध,सही या सटीक।,अचूक,बरोबर किंवा अचूक.,,,,,,,,,,,,,Same
accuse,accuse,To blame someone for something wrong or illegal.,आरोप,किसी को कुछ गलत या अवैध के लिए दोषी ठहराना।,आरोप,एखाद्यास चुकीचे किंवा बेकायदेशीर कशासाठी दोष देणे.,,,,,,,,,,,,,Same
achieve,achieve,To successfully complete or accomplish something.,प्राप्त करना,सफलतापूर्वक कुछ पूरा करने या पूरा करने के लिए।,साध्य करा,यशस्वीरित्या काहीतरी पूर्ण करण्यासाठी किंवा साध्य करण्यासाठी.,,,,,,,,,,,,,Same
achievement,achievement,Something accomplished successfully; a goal attained.,उपलब्धि,सफलतापूर्वक कुछ पूरा किया; एक लक्ष्य प्राप्त हुआ।,यश,काहीतरी यशस्वीरित्या साध्य केले; एक ध्येय प्राप्त झाले.,,,,,,,,,,,,,Same
acknowledge,acknowledge,"To recognize, admit, or accept the truth or existence of something.",स्वीकार करना,"किसी चीज़ की सच्चाई या अस्तित्व को पहचानने, स्वीकार करने या स्वीकार करने के लिए।",कबूल करा,"एखाद्या गोष्टीचे सत्य किंवा अस्तित्व ओळखणे, कबूल करणे किंवा स्वीकारणे.",,,,,,,,,,,,,Same
acquire,acquire,To obtain or gain something.,अधिग्रहण करना,कुछ प्राप्त करने या हासिल करने के लिए।,घेणे,काहीतरी मिळविण्यासाठी किंवा मिळविण्यासाठी.,,,,,,,,,,,,,Same
across,across,From one side to the other.,आर-पार,एक तरफ से दूसरी तरफ।,ओलांडून,एका बाजूला पासून दुसर्‍या बाजूला.,,,,,,,,,,,,,Same
act,act,To do something; take action.,कार्य,कुछ करने के लिए; कार्यवाही करना।,कायदा,काहीतरी करण्यासाठी; कारवाई.,,,,,,,,,,,,,Same
action,action,Something that is done or performed.,कार्य,ऐसा कुछ जो किया जाता है या प्रदर्शन किया जाता है।,क्रिया,काहीतरी केले किंवा केले जाते.,,,,,,,,,,,,,Same
active,active,Engaged in physical or mental activity.,सक्रिय,शारीरिक या मानसिक गतिविधि में लगे हुए हैं।,सक्रिय,शारीरिक किंवा मानसिक क्रियाकलापांमध्ये गुंतलेले.,,,,,,,,,,,,,Same
activity,activity,A thing that a person or group does or has done.,गतिविधि,एक ऐसी चीज जो किसी व्यक्ति या समूह ने किया है या किया है।,क्रियाकलाप,एखादी गोष्ट जी एखादी व्यक्ती किंवा गट करते किंवा केली आहे.,,,,,,,,,,,,,Same
actor,actor,"A person who performs in a play, movie, or TV show.",अभिनेता,"एक व्यक्ति जो एक नाटक, फिल्म या टीवी शो में प्रदर्शन करता है।",अभिनेता,"नाटक, चित्रपट किंवा टीव्ही शोमध्ये सादर करणारी व्यक्ती.",,,,,,,,,,,,,Same
actress,actress,A female actor.,अभिनेत्री,एक महिला अभिनेता।,अभिनेत्री,एक महिला अभिनेता.,,,,,,,,,,,,,Same
actual,actual,Existing in fact or reality.,वास्तविक,वास्तव में या वास्तविकता में मौजूदा।,वास्तविक,खरं तर किंवा वास्तवात विद्यमान.,,,,,,,,,,,,,Same
actually,actually,In fact; really.,वास्तव में,वास्तव में; वास्तव में।,प्रत्यक्षात,खरं तर; खरोखर.,,,,,,,,,,,,,Same
ad,ad,Short for advertisement; a notice or announcement.,विज्ञापन,विज्ञापन के लिए छोटा; एक नोटिस या घोषणा।,एडी,जाहिरातीसाठी लहान; एक सूचना किंवा घोषणा.,,,,,,,,,,,,,Same
